age,setting_count
0,46
1,281
2,1544
3,2377
4,2435
5,2723
6,3259
7,3549
8,3483
9,3201
10,3128
11,3123
12,3452
13,3723
14,3648
15,3693
16,3882
17,3739
18,3803
19,3784
20,3862
21,3221
22,2229
23,1685
24,1374
25,445
26,385
27,327
28,343
29,299
30,290
31,248
32,245
33,291
34,235
35,339
36,298
37,327
38,286
39,309
40,282
41,239
42,254
43,251
44,266
45,254
46,255
47,281
48,304
49,291
50,351
51,254
52,260
53,246
54,283
55,134
56,119
57,118
58,137
59,132
60,106
61,139
62,120
63,127
64,88
65,40
66,43
67,37
68,54
69,66
70,1
71,9
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
