age,setting_count
0,0
1,0
2,0
3,2899
4,4313
5,6090
6,6670
7,6462
8,6382
9,6696
10,6866
11,6916
12,7018
13,6750
14,6196
15,6216
16,6375
17,6274
18,4478
19,3770
20,3057
21,2675
22,1818
23,1607
24,1202
25,1262
26,1325
27,1258
28,1336
29,1368
30,856
31,746
32,776
33,761
34,817
35,623
36,621
37,666
38,663
39,695
40,562
41,512
42,485
43,514
44,493
45,509
46,495
47,558
48,505
49,542
50,490
51,461
52,469
53,443
54,463
55,319
56,329
57,318
58,282
59,319
60,223
61,219
62,254
63,252
64,175
65,84
66,73
67,63
68,87
69,54
70,74
71,51
72,61
73,51
74,53
75,47
76,6
77,7
78,8
79,4
80,8
81,5
82,3
83,6
84,24
