age,setting_count
0,0
1,0
2,0
3,2949
4,3139
5,19617
6,30562
7,49643
8,56787
9,56477
10,55796
11,58226
12,53818
13,56381
14,56659
15,44312
16,47636
17,42396
18,36042
19,31868
20,21014
21,20834
22,20890
23,23715
24,23334
25,6230
26,6099
27,5710
28,5890
29,4969
30,3071
31,2816
32,2823
33,2511
34,2783
35,2128
36,1943
37,2052
38,2065
39,1826
40,1698
41,1596
42,1528
43,1642
44,1396
45,1537
46,1473
47,1291
48,1308
49,1309
50,1189
51,1160
52,1019
53,1047
54,1016
55,1007
56,901
57,987
58,881
59,896
60,604
61,617
62,479
63,519
64,462
65,428
66,382
67,348
68,344
69,447
70,353
71,226
72,193
73,168
74,128
75,159
76,113
77,133
78,154
79,105
80,105
81,48
82,35
83,36
84,129
