age,setting_count
0,106
1,225
2,1425
3,2618
4,2825
5,2823
6,3060
7,3323
8,3144
9,3041
10,2973
11,2766
12,2924
13,2970
14,2861
15,3292
16,3605
17,3465
18,3743
19,3567
20,3679
21,3331
22,2455
23,1925
24,1569
25,339
26,320
27,329
28,240
29,252
30,236
31,197
32,206
33,210
34,216
35,256
36,241
37,242
38,210
39,236
40,201
41,198
42,199
43,189
44,177
45,193
46,193
47,202
48,193
49,188
50,253
51,189
52,195
53,172
54,156
55,124
56,100
57,106
58,106
59,92
60,98
61,90
62,77
63,73
64,59
65,32
66,25
67,22
68,43
69,45
70,3
71,2
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
