age,setting_count
0,117
1,596
2,2246
3,2761
4,3007
5,2953
6,3080
7,3265
8,2972
9,2788
10,2646
11,2594
12,2671
13,2559
14,2816
15,3160
16,3289
17,3329
18,3763
19,3901
20,3935
21,3517
22,2451
23,1856
24,1469
25,318
26,314
27,297
28,242
29,269
30,235
31,250
32,231
33,207
34,241
35,272
36,269
37,269
38,256
39,241
40,241
41,220
42,202
43,179
44,191
45,207
46,208
47,199
48,202
49,202
50,259
51,185
52,184
53,166
54,191
55,122
56,102
57,99
58,112
59,109
60,98
61,106
62,94
63,85
64,64
65,41
66,36
67,35
68,34
69,45
70,6
71,0
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
