age,setting_count
0,0
1,0
2,0
3,2621
4,4296
5,5358
6,6075
7,5975
8,5863
9,5822
10,6194
11,6061
12,6263
13,6325
14,6493
15,6928
16,6689
17,5299
18,4784
19,4277
20,3466
21,3330
22,2513
23,2166
24,1669
25,1601
26,1628
27,1621
28,1623
29,1589
30,1006
31,977
32,1005
33,930
34,952
35,683
36,682
37,686
38,739
39,792
40,728
41,630
42,626
43,679
44,684
45,633
46,608
47,668
48,645
49,610
50,577
51,551
52,626
53,540
54,517
55,447
56,403
57,398
58,353
59,372
60,296
61,283
62,263
63,275
64,235
65,113
66,109
67,106
68,75
69,82
70,70
71,67
72,72
73,74
74,57
75,50
76,5
77,6
78,11
79,5
80,7
81,7
82,14
83,3
84,34
