age,setting_count
0,0
1,0
2,0
3,3178
4,3366
5,23336
6,30279
7,50379
8,49355
9,51788
10,52036
11,47845
12,49343
13,45460
14,40548
15,37908
16,35711
17,34988
18,28455
19,24456
20,15084
21,14406
22,14376
23,15118
24,16564
25,4134
26,4099
27,4041
28,4183
29,3722
30,2874
31,2808
32,2492
33,2565
34,2229
35,2114
36,1783
37,1864
38,1674
39,1679
40,1724
41,1498
42,1583
43,1343
44,1684
45,1524
46,1432
47,1406
48,1294
49,1408
50,1296
51,1296
52,1211
53,1138
54,899
55,966
56,829
57,762
58,706
59,756
60,516
61,536
62,498
63,502
64,481
65,476
66,398
67,386
68,287
69,327
70,222
71,165
72,124
73,202
74,183
75,185
76,162
77,174
78,162
79,91
80,50
81,26
82,36
83,16
84,74
