age,setting_count
0,25283
1,26239
2,25326
3,24039
4,23244
5,60157
6,67935
7,69186
8,69146
9,68824
10,68727
11,69172
12,69163
13,70219
14,71181
15,71084
16,70679
17,66800
18,58490
19,46798
20,36363
21,27898
22,21767
23,17191
24,14125
25,3496
26,3214
27,3094
28,3032
29,2880
30,3039
31,2778
32,2634
33,2468
34,2522
35,2525
36,2442
37,2375
38,2296
39,2219
40,1112
41,1077
42,1022
43,978
44,982
45,900
46,948
47,933
48,856
49,848
50,715
51,680
52,675
53,647
54,601
55,452
56,438
57,453
58,438
59,414
60,239
61,184
62,185
63,190
64,154
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
