age,setting_count
0,466
1,2348
2,4186
3,4400
4,4691
5,7288
6,7180
7,7292
8,7171
9,7449
10,7482
11,7860
12,7826
13,8547
14,8519
15,8908
16,9257
17,9337
18,4070
19,4148
20,4252
21,4082
22,4094
23,4187
24,4017
25,3942
26,254
27,264
28,238
29,257
30,368
31,355
32,342
33,342
34,331
35,333
36,347
37,383
38,393
39,399
40,384
41,376
42,365
43,384
44,427
45,408
46,474
47,454
48,431
49,484
50,452
51,347
52,364
53,363
54,357
55,262
56,307
57,284
58,254
59,239
60,164
61,142
62,156
63,162
64,144
65,63
66,61
67,44
68,36
69,52
70,9
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
