age,setting_count
0,21290
1,22071
2,20717
3,19885
4,19089
5,52544
6,58281
7,58852
8,57038
9,56205
10,55101
11,55058
12,53875
13,53936
14,53622
15,53455
16,52565
17,50602
18,44888
19,36126
20,28735
21,22654
22,17734
23,14120
24,11476
25,2453
26,2330
27,2206
28,2149
29,2053
30,2440
31,2254
32,2153
33,2134
34,2154
35,2103
36,2018
37,2167
38,2029
39,1884
40,965
41,992
42,917
43,964
44,951
45,845
46,861
47,832
48,829
49,820
50,716
51,653
52,627
53,619
54,609
55,484
56,455
57,443
58,375
59,380
60,214
61,193
62,202
63,178
64,144
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
