age,setting_count
0,0
1,0
2,0
3,2605
4,4069
5,6362
6,7194
7,6950
8,6735
9,6905
10,7350
11,7026
12,6894
13,6656
14,6386
15,6274
16,6472
17,6160
18,4861
19,4101
20,3271
21,3063
22,2175
23,1878
24,1388
25,1390
26,1375
27,1425
28,1458
29,1506
30,927
31,867
32,819
33,814
34,812
35,612
36,581
37,620
38,642
39,632
40,565
41,480
42,513
43,450
44,474
45,444
46,486
47,475
48,500
49,511
50,458
51,414
52,502
53,466
54,436
55,329
56,323
57,297
58,296
59,268
60,214
61,257
62,204
63,218
64,167
65,55
66,50
67,52
68,68
69,52
70,54
71,51
72,44
73,40
74,45
75,41
76,9
77,9
78,6
79,5
80,5
81,7
82,3
83,2
84,23
