age,setting_count
0,0
1,0
2,0
3,1939
4,3164
5,5428
6,6080
7,5901
8,5760
9,6071
10,6319
11,6367
12,6523
13,6454
14,5772
15,6031
16,6035
17,6017
18,4435
19,3739
20,3605
21,3153
22,2109
23,1889
24,1554
25,1350
26,1366
27,1424
28,1487
29,1431
30,892
31,874
32,857
33,868
34,820
35,720
36,678
37,704
38,768
39,825
40,614
41,628
42,526
43,547
44,518
45,511
46,521
47,520
48,527
49,511
50,487
51,517
52,530
53,491
54,526
55,351
56,364
57,387
58,334
59,325
60,295
61,261
62,227
63,255
64,183
65,76
66,76
67,89
68,66
69,56
70,58
71,53
72,67
73,47
74,47
75,33
76,6
77,12
78,5
79,11
80,9
81,9
82,4
83,5
84,38
