age,setting_count
0,140
1,612
2,2673
3,4057
4,4358
5,4687
6,4770
7,5056
8,4746
9,4561
10,4609
11,4554
12,4839
13,4774
14,5108
15,5538
16,5704
17,5159
18,4968
19,5367
20,5665
21,5000
22,4167
23,3311
24,2735
25,782
26,736
27,711
28,639
29,544
30,530
31,492
32,476
33,452
34,463
35,604
36,576
37,581
38,540
39,530
40,518
41,481
42,501
43,512
44,501
45,510
46,476
47,551
48,568
49,591
50,657
51,532
52,488
53,472
54,480
55,299
56,270
57,319
58,246
59,227
60,226
61,206
62,159
63,148
64,116
65,88
66,62
67,48
68,66
69,64
70,1
71,3
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
