age,setting_count
0,0
1,0
2,0
3,4997
4,5518
5,22150
6,29327
7,42986
8,45302
9,45748
10,44244
11,43846
12,46691
13,41268
14,42784
15,35210
16,36615
17,33187
18,31676
19,26396
20,15887
21,16033
22,14434
23,14895
24,14534
25,3741
26,3811
27,4008
28,3613
29,3571
30,2155
31,2113
32,1907
33,2112
34,1718
35,1862
36,1766
37,1753
38,1738
39,1634
40,1612
41,1347
42,1500
43,1376
44,1312
45,1079
46,1174
47,1059
48,1217
49,1114
50,1180
51,1044
52,1006
53,1113
54,1044
55,926
56,799
57,788
58,750
59,734
60,575
61,681
62,599
63,595
64,468
65,496
66,475
67,464
68,390
69,347
70,309
71,271
72,236
73,223
74,187
75,172
76,148
77,137
78,128
79,86
80,79
81,22
82,39
83,28
84,141
