age,setting_count
0,87
1,186
2,1017
3,1672
4,2045
5,2125
6,2343
7,2714
8,2451
9,2534
10,2651
11,2519
12,2600
13,2674
14,2879
15,3040
16,3401
17,3434
18,3355
19,3299
20,3482
21,2856
22,1835
23,1342
24,1090
25,310
26,279
27,277
28,222
29,240
30,197
31,195
32,212
33,178
34,211
35,228
36,226
37,212
38,228
39,214
40,255
41,223
42,193
43,209
44,243
45,192
46,198
47,228
48,239
49,278
50,296
51,243
52,233
53,213
54,232
55,105
56,107
57,98
58,105
59,92
60,99
61,113
62,94
63,85
64,65
65,37
66,25
67,21
68,46
69,66
70,1
71,1
72,2
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
