age,setting_count
0,0
1,0
2,0
3,3702
4,6229
5,10598
6,11249
7,11148
8,10701
9,10317
10,10936
11,10351
12,10250
13,9974
14,9457
15,9214
16,9114
17,9473
18,6934
19,5468
20,5433
21,5250
22,3598
23,3346
24,2438
25,2464
26,2334
27,2477
28,2406
29,2468
30,1479
31,1452
32,1474
33,1458
34,1340
35,1154
36,1041
37,989
38,1071
39,1033
40,791
41,694
42,716
43,724
44,670
45,633
46,718
47,712
48,701
49,719
50,665
51,626
52,601
53,633
54,569
55,482
56,412
57,442
58,402
59,337
60,317
61,308
62,297
63,271
64,221
65,113
66,117
67,87
68,70
69,80
70,72
71,70
72,69
73,95
74,59
75,64
76,10
77,15
78,11
79,7
80,4
81,4
82,2
83,6
84,25
