age,setting_count
0,78
1,237
2,293
3,1955
4,2392
5,2530
6,6759
7,6976
8,6981
9,7016
10,7164
11,7592
12,7652
13,7901
14,8011
15,8117
16,8369
17,8690
18,5623
19,3554
20,3109
21,3058
22,2898
23,2760
24,2777
25,248
26,271
27,251
28,275
29,277
30,253
31,240
32,231
33,240
34,221
35,258
36,283
37,276
38,285
39,310
40,301
41,309
42,301
43,313
44,319
45,273
46,280
47,285
48,296
49,243
50,297
51,263
52,257
53,264
54,299
55,288
56,284
57,324
58,313
59,304
60,302
61,245
62,270
63,279
64,287
65,182
66,222
67,193
68,177
69,89
70,91
71,112
72,119
73,132
74,110
75,62
76,71
77,37
78,47
79,47
80,28
81,21
82,38
83,18
84,33
